scenario,phase,montage,rr_percent,Z_ohm,delta_Z_from_phase00_ohm,max_relative_residual
gabriel_myocardium,phase_03,tepc_5,43.0,71.95083362476097,0.45104529494676626,1.6683529575978277e-11
gabriel_myocardium,phase_03,tepc_6,43.0,13.972568251475645,0.10680237737206433,8.263622124996517e-12
gabriel_myocardium,phase_03,tepc_7,43.0,2.089290054471336,0.007021352091538979,1.0734613140052056e-11
gabriel_myocardium,phase_03,ttrkg,43.0,229.0575979069135,0.005288611588099457,1.237047148732548e-10
gabriel_blood,phase_03,tepc_2,43.0,97.96202516181108,0.7364942832545296,2.713388684995905e-11
gabriel_blood,phase_03,tepc_3,43.0,28.909459018765983,0.029088677421462705,4.264641873744235e-11
gabriel_blood,phase_03,tepc_4,43.0,60.69664752884581,0.9523699967411616,2.2385538809681764e-11
gabriel_blood,phase_03,tepc_5,43.0,65.59463731697835,1.7641312356711936,1.506176356729709e-11
gabriel_blood,phase_03,tepc_6,43.0,11.24492923153063,0.2184635186315429,1.4354587107582166e-11
gabriel_blood,phase_03,tepc_7,43.0,1.560121192088264,0.03477226610043482,6.418553376267963e-12
gabriel_blood,phase_03,ttrkg,43.0,228.0168749419658,0.0246726863663298,1.356486445851422e-10
lf_mean_myocardium,phase_03,tepc_2,43.0,108.65012060320424,0.07862819777321306,2.195082855179146e-11
lf_mean_myocardium,phase_03,tepc_3,43.0,34.55537788762187,0.006285036887774709,4.304212071329298e-11
lf_mean_myocardium,phase_03,tepc_4,43.0,70.83358637031009,0.2543047460389687,2.548968363109234e-11
lf_mean_myocardium,phase_03,tepc_5,43.0,75.97259954335601,0.5744204598715328,2.318420683416615e-11
lf_mean_myocardium,phase_03,tepc_6,43.0,15.758519066642428,0.1009211423891827,9.604176936484911e-12
lf_mean_myocardium,phase_03,tepc_7,43.0,2.535660236531383,0.01233960715333815,1.12982862436047e-11
lf_mean_myocardium,phase_03,ttrkg,43.0,235.18931247705098,0.001543140615297034,1.3247008999243962e-10
lf_mean_blood,phase_03,tepc_2,43.0,103.13911027904479,0.7770044173975634,2.649960208470987e-11
lf_mean_blood,phase_03,tepc_3,43.0,33.44888044354392,0.01549821250510064,4.5788177069236276e-11
lf_mean_blood,phase_03,tepc_4,43.0,64.39276923080298,1.0070461719745438,2.4624024534414886e-11
lf_mean_blood,phase_03,tepc_5,43.0,69.28546243405626,2.1026628229265327,1.1780417480613651e-11
lf_mean_blood,phase_03,tepc_6,43.0,13.087539423670396,0.18173139052227505,1.160164357305468e-11
lf_mean_blood,phase_03,tepc_7,43.0,1.9279584305785011,0.053698189612586766,9.093791574391516e-12
lf_mean_blood,phase_03,ttrkg,43.0,234.31160309363196,0.01826673102587506,1.3421903746981432e-10
gabriel_myocardium,phase_04,tepc_2,53.0,103.11451929439565,0.058925668695394506,1.733113813327534e-11
gabriel_myocardium,phase_04,tepc_3,53.0,30.18780199220616,0.011457863842476712,5.802650939339474e-11
gabriel_myocardium,phase_04,tepc_4,53.0,66.64422836926751,0.18329045834190083,3.105016486538713e-11
gabriel_myocardium,phase_04,tepc_5,53.0,71.86494462899532,0.36515629918110903,2.4759521345310936e-11
gabriel_myocardium,phase_04,tepc_6,53.0,13.954285675077578,0.08851980097399803,1.2851427387129791e-11
gabriel_myocardium,phase_04,tepc_7,53.0,2.089060140010469,0.006791437630671915,7.392517138418787e-12
gabriel_myocardium,phase_04,ttrkg,53.0,229.05890999609198,0.006600700766597356,1.174774751739289e-10
gabriel_blood,phase_04,tepc_2,53.0,97.75592909599484,0.5303982174382895,2.301703826513205e-11
