phase_id,phase_percent,baseline_phase,region,delta_authored_ml,delta_automatic_ml,disagreement_delta_ml,change_authored_percent_of_baseline,change_automatic_percent_of_baseline
phase_11,55,phase_00,LV,-60.93370921502279,-58.532537824190115,2.4011713908326726,-47.740538835036546,-40.136769313967264
phase_11,55,phase_00,RV,-16.350673950200672,-67.08569713204318,-50.73502318184251,-13.588527866871196,-34.143501715131585
phase_11,55,phase_00,LA,14.568672540651896,30.8393633767391,16.270690836087205,45.747857243220466,73.46800090607468
phase_11,55,phase_00,RA,10.669076235763612,63.91657598122605,53.24749974546244,23.13298891556913,103.0089149697576
phase_11,55,phase_00,blood_pool_sum,-52.046634388807945,-30.862295598268133,21.18433879053981,-15.968732839099394,-6.9145190112305475
phase_12,60,phase_00,LV,-42.41062676680346,-38.54123387563635,3.8693928911671094,-33.22801451383898,-26.428387878694902
phase_12,60,phase_00,RV,-18.681370709017287,-41.69077873978233,-23.009408030765044,-15.52549621159299,-21.21866860241683
phase_12,60,phase_00,LA,11.089127415478345,21.924881749184685,10.83575433370634,34.821554025572574,52.23120894349024
phase_12,60,phase_00,RA,11.87889075203919,48.35007214282306,36.47118139078387,25.756142521041003,77.92170330908532
phase_12,60,phase_00,blood_pool_sum,-38.123979308303205,-9.95705872341091,28.166920584892296,-11.697041460735857,-2.230821476637894
phase_13,65,phase_00,LV,-25.25508777318136,-22.05352591873779,3.2015618544435682,-19.786937544917524,-15.122482558652397
phase_13,65,phase_00,RV,-6.668242562661803,-20.73744013196182,-14.069197569300016,-5.541765444150053,-10.554393156553795
phase_13,65,phase_00,LA,13.201688408530991,19.948236117877286,6.746547709346295,41.45531825207251,47.52228544017907
phase_13,65,phase_00,RA,9.830092521286787,33.40609422056186,23.576001699275075,21.31388100608794,53.83776377583672
phase_13,65,phase_00,blood_pool_sum,-8.891549406025376,10.563364287739546,19.454913693764922,-2.7280683690280045,2.36666073518613
phase_14,70,phase_00,LV,-16.39374178087715,-11.180856301594474,5.212885479282676,-12.844221634033904,-7.666905738097884
phase_14,70,phase_00,RV,-4.839817387578648,-8.186243763388518,-3.3464263758098696,-4.02221912332079,-4.166417581166282
phase_14,70,phase_00,LA,12.225111364879965,17.727725886895293,5.502614522015328,38.3887171561051,42.23240816000212
phase_14,70,phase_00,RA,6.296293115910409,23.95242572583701,17.6561326099266,13.651798491353176,38.602089474206075
phase_14,70,phase_00,blood_pool_sum,-2.712154687665418,22.313051547749353,25.02520623541477,-0.8321320702910501,4.999110277919116
phase_15,75,phase_00,LV,-10.481703206197125,-5.428224632665035,5.0534785735320895,-8.212238601903628,-3.7222271229734742
phase_15,75,phase_00,RV,-2.7009682381390547,-3.6439859332109847,-0.94301769507193,-2.244689257658159,-1.8546194685226984
phase_15,75,phase_00,LA,12.296704641848656,15.796944698645959,3.5002400567973027,38.61353098215541,37.63274660555103
phase_15,75,phase_00,RA,3.1741550531039806,16.989420218155693,13.815265165051713,6.882291590870494,27.38040509478353
phase_15,75,phase_00,blood_pool_sum,2.288188250616429,23.71415435092564,21.42596610030921,0.7020524437122369,5.3130192656158854
phase_16,80,phase_00,LV,-0.8714244181032598,0.9832889133668345,1.8547133314700943,-0.6827464109800334,0.6742581434505271
phase_16,80,phase_00,RV,5.210088866901074,1.5929504125533356,-3.6171384543477387,4.329940036257143,0.8107377200848341
phase_16,80,phase_00,LA,7.738785782334226,9.281397172018941,1.5426113896847156,24.30096950962484,22.110887553465055
phase_16,80,phase_00,RA,2.225544133268855,7.289090511374646,5.063546378105791,4.825486914550436,11.747207874739711
phase_16,80,phase_00,blood_pool_sum,14.302994364400888,19.146727009313793,4.843732644912905,4.388385502471166,4.289713559615145
phase_17,85,phase_00,LV,3.6534944153084155,6.554700099969267,2.9012056846608516,2.862451576714758,4.494670752614763
phase_17,85,phase_00,RV,9.765770436510238,5.093190469350645,-4.672579967159592,8.116022869892626,2.5921972187824727
phase_17,85,phase_00,LA,4.863308931583994,4.361037347850527,-0.5022715837334673,15.27153294927639,10.389212381244239
phase_17,85,phase_00,RA,0.5844919877521875,4.79786820185479,4.2133762141026025,1.267311843605229,7.732316540018194
phase_17,85,phase_00,blood_pool_sum,18.86706577115484,20.80679611902525,1.9397303478704089,5.788714991762773,4.661642452023932
phase_18,90,phase_00,LV,5.356072033220045,8.607413588055891,3.2513415548358466,4.196392574804115,5.90225174605244
phase_18,90,phase_00,RV,3.2793076786517474,9.926855309689785,6.647547631038037,2.725328870915261,5.052307955079209
phase_18,90,phase_00,LA,2.4498324462723318,0.7053056426368443,-1.7445268036354875,7.692848110158791,1.6802355794214303
phase_18,90,phase_00,RA,-1.891069292430764,-3.338036538665129,-1.4469672462343652,-4.100269227970608,-5.3796298800220015
phase_18,90,phase_00,blood_pool_sum,9.194142865713332,15.901538001717427,6.707395136004095,2.820908841295983,3.5626477126623786
phase_19,95,phase_00,LV,5.0831226647769086,6.702920556193504,1.6197978914165958,3.982541324124867,4.596308072304404
phase_19,95,phase_00,RV,5.247563472814377,6.402005063934496,1.1544415911201185,4.361083995723516,3.258323014076894
