request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,80,38.2910746812725,37.3748125502172,0.853792324948603,0.046494995023766,0,4.55038219299464e-10,2.1316282072803e-14
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,90,32.9120283251452,31.7862770252712,1.0127812624,0.0537197304911795,0,3.8188694887588e-10,2.1316282072803e-14
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,110,31.0502350155308,29.9039219324923,1.33655211057056,0.0664341320547911,0,4.05852908818299e-10,2.8421709430404e-14
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,120,28.8196405964974,27.1722946996466,1.55115624933954,0.0739495584432411,0,4.5840566207691e-10,7.105427357601e-15
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,130,26.6322275429205,24.9627068997309,1.61290712309441,0.0747913876550075,0,6.18642726737243e-10,1.06581410364015e-14
100000_inhale_bones,literature,100000,inhale,bones,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,140,25.9647194974517,24.1238248812295,1.80706114580343,0.0816132233724555,0,6.46328145681688e-10,1.4210854715202e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,50,47.9964447977857,47.3879799810514,0.358683279139306,0.0215849979972588,0.0097845222492695,2.71352360837216e-10,1.4210854715202e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,60,47.4350451643654,47.3003053992487,0.554343011137039,0.031945213929292,0.015594573366577,2.56782237937687e-10,1.4210854715202e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,70,36.8706903098791,36.1823359436222,0.666744236500574,0.0374790115794586,0.0194170008908575,2.96026099280549e-10,1.4210854715202e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,80,38.3062433943989,37.359654314071,0.858014120950227,0.0466293265209027,0.0259264905837849,4.36748147666196e-10,2.8421709430404e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,90,32.9306572147448,31.7676238897557,1.01804211470633,0.053884741731154,0.0318499619712254,3.36987299404542e-10,1.4210854715202e-14
100000_inhale_bones_heart,literature,100000,inhale,bones_heart,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,110,31.077236751985,29.8766990189296,1.34442025881152,0.0666710594460186,0.046174502226689,3.99791954891437e-10,1.4210854715202e-14
