request_id,kind,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,dZ_dlogrho_bone,dZ_dlogrho_heart,relative_residual,reciprocity_abs,Z_experiment,residual_ohm,residual_pct
50000_exhale_bones,literature,50000,exhale,bones,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,140,24.6418709140509,22.0383489981471,2.58085840111067,0.0707082555210951,0.0,3.17104246784568e-10,0.0,46.828,-22.1861290859491,-47.37791297076343
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,50,48.9529676082627,48.2012525854871,0.498107092720131,0.0203382477770047,0.0063498849672369,1.1550828338054701e-10,2.1316282072803e-14,83.134,-34.1810323917373,-41.11558735503801
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,60,48.1749191740566,47.8410209955176,0.770105175760253,0.0299869142951596,0.010096496702959,1.95221858515248e-10,7.105427357601e-15,97.44,-49.2650808259434,-50.55940150445751
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,70,37.1698625588266,36.2268211118627,0.928361749213581,0.0350480057820935,0.0125322507397725,1.43311189259027e-10,1.4210854715202e-14,85.633,-48.463137441173394,-56.59399698851307
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,80,38.4286261504777,37.156624279928,1.19653412378473,0.0434113768958668,0.0167121597558342,2.05985946726547e-10,1.4210854715202e-14,79.63,-41.2013738495223,-51.74101952721625
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,90,32.7173528152934,31.1645877462096,1.4223305038458,0.0499332834798196,0.0204582199229408,2.25789922637606e-10,2.1316282072803e-14,70.327,-37.609647184706596,-53.47824759296799
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,110,30.4478216666687,28.7298341768803,1.89009247220996,0.0606100890388806,0.029429283515759,2.56895150190725e-10,3.5527136788005e-15,61.474,-31.0261783333313,-50.47040754356525
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,120,27.9040687679863,25.5763705785648,2.2039312829873,0.0664657821778877,0.0364400382776846,2.29533354700438e-10,3.5527136788005e-15,57.685,-29.780931232013703,-51.62682019938234
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,130,25.5829110771606,23.1922955803699,2.30582112944972,0.0660792153330709,0.0398727344462255,3.09680114153979e-10,1.4210854715202e-14,55.784,-30.2010889228394,-54.13933909873691
50000_exhale_bones_heart,literature,50000,exhale,bones_heart,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,140,24.6749210583929,22.0016657029159,2.60246209780653,0.0709440966335683,0.0479155846579447,2.89698160948246e-10,1.0658141036401501e-14,46.828,-22.153078941607102,-47.30733523021931
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,50,47.7502607005118,47.2154559403942,0.316308876729894,0.0,0.0,2.03557390633324e-10,1.4210854715202e-14,85.689,-37.93873929948819,-44.274923618537024
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,60,47.0680546007898,47.0447164418978,0.489713422030986,0.0,0.0,1.82416688576472e-10,1.4210854715202e-14,101.102,-54.033945399210204,-53.444981700866656
100000_inhale_two_tissue,literature,100000,inhale,two_tissue,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,70,36.439740859938,35.8846838372201,0.589521038514901,0.0,0.0,1.36142441074697e-10,0.0,88.678,-52.238259140062,-58.90780028875482
