point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds,Z_experiment,state,residual_ohm,relative_residual_pct
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,120,27.1774039391557,25.0851821496473,2.07216614938554,4.24618850229433e-10,1.4210854715202e-14,10.0009318,57.685,exhale,-30.507596060844303,-52.886532132866954
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,130,24.8533199419455,22.7128090448809,2.16242372709105,1.65803909105412e-10,3.5527136788005e-15,11.4550882,55.784,exhale,-30.9306800580545,-55.44722511482593
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,140,23.8817023254173,21.494918525453,2.43426318595076,4.2408928473977203e-10,0.0,12.8708557,46.828,exhale,-22.946297674582702,-49.00123360934206
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,50,48.736850252964,48.0452656744457,0.464609403606823,8.378086202927759e-11,0.0,1.4034329,83.134,exhale,-34.397149747036,-41.37555001207208
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,60,47.854158938204,47.611290601361,0.718488669258117,1.91075611695106e-10,0.0,2.8754616,97.44,exhale,-49.585841061795996,-50.88858893862479
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,70,36.7946424479317,35.9610132581121,0.865826409606683,2.284863114497e-10,2.1316282072803e-14,4.3046301,85.633,exhale,-48.838357552068295,-57.0321693179829
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,80,37.9611445517815,36.831393433962,1.11569050855855,1.95999999016478e-10,1.4210854715202e-14,5.6932255,79.63,exhale,-41.668855448218494,-52.32808671131294
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,90,32.1782424043392,30.7932202156555,1.32549721649372,2.96144750052583e-10,1.4210854715202e-14,7.1179787,70.327,exhale,-38.1487575956608,-54.24482431450338
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,110,29.7845196952252,28.2903128038763,1.75513220373682,2.5193365285236003e-10,3.5527136788005e-15,8.5180992,61.474,exhale,-31.689480304774797,-51.5494034954205
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,120,27.167851696519,25.107271705971,2.04052980563934,3.57057066759703e-10,7.105427357601e-15,9.9610599,57.685,exhale,-30.517148303481,-52.90309145095085
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,130,24.8421985419765,22.7380333770705,2.12608939381401,3.65970276614504e-10,0.0,11.3325702,55.784,exhale,-30.941801458023498,-55.467161655714
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,140,23.8683409512138,21.5250382557584,2.39075437686907,3.9330885023994003e-10,7.105427357601e-15,12.7742571,46.828,exhale,-22.959659048786204,-49.029766483271125
