phase_id,phase_percent,region,mask_sha256,source_ct_sha256,raw_volume_ml,HU170_subset_ml,HU190_subset_ml,HU210_subset_ml,fraction_below_170,median_hu
phase_06,30,LV,718c8c2ae7432558a0943cbbf4b23c61340f032cf0a5533f26275030764c9bf5,a6e0c03f423ecca01908f78eb11fc2a571409f0a21b22686374ebca6edb40995,73.09729510750779,55.451230302154904,49.37642888686638,42.17682997170259,0.24140516799424588,222.0
phase_06,30,RV,bb83ca53d906412039298ded022624687dc411fc14751a292e2e3ef927e33049,a6e0c03f423ecca01908f78eb11fc2a571409f0a21b22686374ebca6edb40995,120.37514606322947,97.56317886660462,90.19969846587969,81.55984417419735,0.18950728570366515,250.0
phase_06,30,LA,22d6666618c4daf79f5a23203c2090fe988fdc1a049327fb3dacf2663b03372b,a6e0c03f423ecca01908f78eb11fc2a571409f0a21b22686374ebca6edb40995,83.34687948603299,82.62982807139346,81.48769157475235,78.87509628787151,0.008603218489537896,248.0
phase_06,30,RA,0127cd5d6bd760199893449646dcc71ad560cab2eaaebda475e7f4509d09c7fe,a6e0c03f423ecca01908f78eb11fc2a571409f0a21b22686374ebca6edb40995,117.01977052779849,103.90925168290731,98.96428166978092,93.60205708932138,0.11203678477370385,294.0
phase_06,30,myo,bd031e90596aa7f4177bebe807383266c85c1245e4164e92d7cf4841bd001224,a6e0c03f423ecca01908f78eb11fc2a571409f0a21b22686374ebca6edb40995,103.9400144191048,4.256444044779088,0.9586787244088512,0.21981373319292796,0.9590490335356666,111.0
phase_07,35,LV,ddec245453406b12741ecde918b2b07acf164316c7d56c61e2b451ecc82e9d50,a5a868b24ccec31c89ead599db0c816158ff02fc755e69a38b46fdea12c7a442,66.17400149564503,44.5824759423458,40.46474387169355,36.13279129261155,0.32628411559364723,220.0
phase_07,35,RV,8c670996c96d4f61284281633ab15210d0e9d6fc717302a28a7b746514179505,a5a868b24ccec31c89ead599db0c816158ff02fc755e69a38b46fdea12c7a442,111.74871551097877,86.98918745181504,79.01045232714044,71.19168343069276,0.2215643190702377,247.0
phase_07,35,LA,439f7625cdf098f36e1942829c54dd722aa859ffb13e252388d2d2f2212ffa10,a5a868b24ccec31c89ead599db0c816158ff02fc755e69a38b46fdea12c7a442,89.21137565022599,88.8142566920403,87.9730356876582,85.72679662276558,0.004451438567012959,252.0
phase_07,35,RA,c6a0499d2a4ab25d9f5c1c8ae6a2692681153fbd6b0373e4c392e409d49b0ae2,a5a868b24ccec31c89ead599db0c816158ff02fc755e69a38b46fdea12c7a442,124.9520818869387,112.59161448278981,107.22211871013813,101.43816498253491,0.09892166034762913,287.0
phase_07,35,myo,eb875f615fa9402bb84229bb8df631e2af8fed6678c112778eff51ca316109dc,a5a868b24ccec31c89ead599db0c816158ff02fc755e69a38b46fdea12c7a442,106.43850792081679,1.0576788027171165,0.2802205606352593,0.08277972649504665,0.9900630061114352,106.0
