phase_id,phase_percent,structure,volume_ml,voxel_count,touches_image_boundary,empty,reference_phase_percent,delta_from_reference_ml,previous_phase_percent,delta_from_previous_ml
phase_12,60.0,LA,56.16604442688916,100418,False,False,0.0,17.671793639263505,55.0,-1.6046961845560048
phase_12,60.0,RA,84.10364279649109,150367,False,False,0.0,23.096662337070654,55.0,-3.864358988880255
phase_12,60.0,whole_heart,619.3763712776575,1107369,True,False,0.0,3.8833759530749603,55.0,13.769400721993634
phase_13,65.0,LV,139.85970384823923,250052,True,False,0.0,-10.948178151446228,60.0,5.897496190295755
phase_13,65.0,RV,187.10511410033448,334521,True,False,0.0,-10.61929653537132,60.0,3.828562350395913
phase_13,65.0,LA,58.3535546317684,104329,False,False,0.0,19.859303844142744,60.0,2.1875102048792385
phase_13,65.0,RA,83.38994731670947,149091,False,False,0.0,22.382966857289034,60.0,-0.7136954797816202
phase_13,65.0,whole_heart,629.9576338846393,1126287,True,False,0.0,14.464638560056756,60.0,10.581262606981795
phase_14,70.0,LV,141.91801056108903,253732,True,False,0.0,-8.88987143859643,65.0,2.0583067128497987
phase_14,70.0,RV,186.16041843783358,332832,True,False,0.0,-11.56399219787221,65.0,-0.9446956625008909
phase_14,70.0,LA,61.01872623142311,109094,False,False,0.0,22.524475443797456,65.0,2.6651715996547125
phase_14,70.0,RA,86.0182036329272,153790,False,False,0.0,25.011223173506764,65.0,2.6282563162177297
phase_14,70.0,whole_heart,634.2700101770502,1133997,True,False,0.0,18.777014852467573,65.0,4.312376292410818
phase_15,75.0,LV,143.17536748785164,255980,True,False,0.0,-7.6325145118338185,70.0,1.2573569267626112
phase_15,75.0,RV,185.3320618504068,331351,True,False,0.0,-12.392348785298992,70.0,-0.8283565874267822
phase_15,75.0,LA,62.11835421986407,111060,False,False,0.0,23.624103432238414,70.0,1.0996279884409574
phase_15,75.0,RA,85.97905105958495,153720,False,False,0.0,24.972070600164514,70.0,-0.03915257334224975
phase_15,75.0,whole_heart,633.1530431918434,1132000,True,False,0.0,17.6600478672608,70.0,-1.1169669852067727
phase_16,80.0,LV,144.93052141853715,259118,True,False,0.0,-5.877360581148309,75.0,1.755153930685509
phase_16,80.0,RV,187.8534875736478,335859,True,False,0.0,-9.870923062057983,75.0,2.521425723241009
phase_16,80.0,LA,60.791641306038045,108688,False,False,0.0,22.297390518412392,75.0,-1.3267129138260216
phase_16,80.0,RA,84.04379529152507,150260,False,False,0.0,23.03681483210464,75.0,-1.935255768059875
phase_16,80.0,whole_heart,634.3583831283084,1134155,True,False,0.0,18.865387803725866,75.0,1.2053399364650659
phase_17,85.0,LV,149.41628767860658,267138,True,False,0.0,-1.391594321078884,80.0,4.4857662600694255
phase_17,85.0,RV,191.07406639228617,341617,True,False,0.0,-6.6503442434196245,80.0,3.2205788186383586
phase_17,85.0,LA,53.45109312684215,95564,False,False,0.0,14.9568423392165,80.0,-7.340548179195892
phase_17,85.0,RA,78.47685868473319,140307,False,False,0.0,17.469878225312755,80.0,-5.566936606791884
phase_17,85.0,whole_heart,630.4755664977097,1127213,True,False,0.0,14.982571173127099,80.0,-3.882816630598768
phase_18,90.0,LV,155.22541091764413,277524,True,False,0.0,4.417528917958663,85.0,5.809123239037547
phase_18,90.0,RV,204.34007688559373,365335,True,False,0.0,6.615666249887937,85.0,13.266010493307562
phase_18,90.0,LA,41.75566014703522,74654,False,False,0.0,3.261409359409569,85.0,-11.695432979806931
phase_18,90.0,RA,58.752910879859364,105043,False,False,0.0,-2.254069579561069,85.0,-19.723947804873823
phase_18,90.0,whole_heart,622.785441770815,1113464,True,False,0.0,7.292446446232475,85.0,-7.690124726894624
phase_19,95.0,LV,157.5902263475161,281752,True,False,0.0,6.782344347830644,90.0,2.3648154298719817
phase_19,95.0,RV,204.80878912074812,366173,True,False,0.0,7.084378485042322,90.0,0.46871223515438487
phase_19,95.0,LA,37.6513518158146,67316,False,False,0.0,-0.8428989718110529,90.0,-4.104308331220622
phase_19,95.0,RA,57.10290957472161,102093,False,False,0.0,-3.9040708846988252,90.0,-1.6500013051377564
phase_19,95.0,whole_heart,619.1045405541671,1106883,True,False,0.0,3.6115452295845216,90.0,-3.6809012166479533
