evaluation,rho_soft_ohm_m,rho_lungs_ohm_m,centre_u_mm,centre_v_mm,phi_deg,objective,fem_slope_ohm_per_mm,h_centre_mm,status,failure_code,engine_version,engine_fingerprint,centre_x_mm,centre_y_mm,centre_z_mm,normal_x,normal_y,normal_z,axis_x,axis_y,axis_z,reconstructed_h_vertex_mm
20,5.3646664546649,24.7069468090815,7.87975438606791,20.6547663507263,-6.875,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-153.854924270009,-34.6450757299908,-133.197821100793,-0.794963540567231,-0.606317800349784,-0.0202902476035343,-0.0369594569516675,0.0817884294002042,-0.995964181764628,27.4373061448246
21,5.3646664546649,24.7069468090815,7.87975438606791,10.6547663507263,-11.875,76.1414126879379,-0.412763306051779,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,-0.0696012792121987,0.167918294578641,-0.98334078949153,30.4849289802345
22,5.3646664546649,24.7069468090815,7.87975438606791,10.6547663507263,-1.875,32.439638860777,-0.528188492533711,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0336195706594113,0.0283342507516954,-0.999032979787463,30.4849289802345
23,4.6146664546649,24.7069468090815,7.87975438606791,10.6547663507263,-1.875,75.8528901807809,-0.447789492253441,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0336195706594113,0.0283342507516954,-0.999032979787463,30.4849289802345
24,6.1146664546649,24.7069468090815,7.87975438606791,10.6547663507263,-1.875,42.3401592994111,-0.609744236581418,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0336195706594113,0.0283342507516954,-0.999032979787463,30.4849289802345
25,5.3646664546649,21.7069468090815,7.87975438606791,10.6547663507263,-1.875,33.5765603381308,-0.533149101789614,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0336195706594113,0.0283342507516954,-0.999032979787463,30.4849289802345
26,5.3646664546649,27.7069468090815,7.87975438606791,10.6547663507263,-1.875,31.7798173282538,-0.524044158762586,30.4849289802345,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-159.609640798794,-26.647011246331,-133.243347954875,-0.805615650964283,-0.590812238293427,-0.0438670947762116,0.0336195706594113,0.0283342507516954,-0.999032979787463,30.4849289802345
27,5.3646664546649,24.7069468090815,17.8797543860679,10.6547663507263,-1.875,71.8132955867136,-0.421913194999231,27.9660184345461,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-158.876320931185,-26.6236790688146,-143.282706815564,-0.831654438130123,-0.554405383543131,-0.0313937292602027,0.0210415302295651,0.0250316070073062,-0.999465193319022,27.9660184345461
28,5.3646664546649,24.7069468090815,7.87975438606791,0.6547663507263,-1.875,64.2940304740032,-0.508955601037348,32.819529788795,evaluated,,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-165.107705282454,-18.3922947175458,-133.566804794936,-0.84652004817741,-0.529695403040192,-0.0531656659114102,0.0380448464703654,0.0394190665608599,-0.998498235776367,32.819529788795
29,5.3646664546649,24.7069468090815,7.87975438606791,20.6547663507263,-1.875,1000000000000,NaN,NaN,invalid_geometry,trkg4:electrodeDiagnostics,trkg4-inverse-auditfix-20260908-v1,2b47758f89b7d0d90520629b36aa97f5ea33917e9f03d41b7d84b1d6be3d5e41,-153.854924270009,-34.6450757299908,-133.197821100793,-0.794963540567231,-0.606317800349784,-0.0202902476035343,0.0159566296837875,0.0125365456713336,-0.999794089296274,27.4373061448246
