point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds,Z_experiment,state,residual_ohm,relative_residual_pct,frequency_hz
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,70,37.4886462774979,36.9212356768244,0.601205166564363,3.0894224625203003e-10,1.4210854715202e-14,4.6774358,88.678,inhale,-51.1893537225021,-57.72497544205113,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,80,38.8551682040103,38.0642085751902,0.774489578947577,2.60458111875026e-10,0.0,6.1442845,83.943,inhale,-45.0878317959897,-53.71243795907901,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,90,33.239972547707,32.2599719084522,0.919788616160668,3.95307696590865e-10,1.4210854715202e-14,7.7211091,74.573,inhale,-41.333027452293,-55.42626346304025,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,110,31.1875995950666,30.236842171672,1.21406433105711,4.65533384614433e-10,2.1316282072803e-14,9.2106055,65.581,inhale,-34.3934004049334,-52.44415364958357,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,120,28.7967074796323,27.3667818074239,1.40803016516461,5.44802078760807e-10,1.4210854715202e-14,10.8050275,62.821,inhale,-34.024292520367695,-54.16069868414654,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,130,26.5351141041071,25.0943540482573,1.46023343282358,5.28743776816107e-10,3.5527136788005e-15,12.1960245,60.925,inhale,-34.389885895892895,-56.4462632677766,50000
inflated,literature_named_tissues,reference,2.84229947307531,9.74127148952717,140,25.7664242954944,24.1823009663841,1.63259516497954,4.83398199176044e-10,3.5527136788005e-15,13.6132869,50.103,inhale,-24.3365757045056,-48.57309084187694,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,50,48.7375592203083,48.043207036501,0.467376389020148,8.045912122183229e-11,7.105427357601e-15,1.4028427,83.134,exhale,-34.3964407796917,-41.37469721135962,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,60,47.8554350067659,47.6077315973835,0.723334404946995,1.42897609723034e-10,2.8421709430404e-14,2.8446495,97.44,exhale,-49.584564993234096,-50.88727934445208,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,70,36.7965091553533,35.9560592933162,0.872660863740839,2.09361021359058e-10,7.105427357601e-15,4.3257123,85.633,exhale,-48.8364908446467,-57.0299894253929,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,80,37.9639211583791,36.8241887009591,1.12566234413988,2.80033465733936e-10,0.0,5.7355251,79.63,exhale,-41.666078841620894,-52.3245998262224,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,90,32.1821612713274,30.7834513370136,1.3391876402939,2.5357939281702e-10,7.105427357601e-15,7.1403694,70.327,exhale,-38.1448387286726,-54.23925196392935,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,110,29.7917403281453,28.2733007572133,1.77934948375885,1.68942457229177e-10,2.1316282072803e-14,8.5360533,61.474,exhale,-31.6822596718547,-51.53765766316606,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,120,27.1774039391557,25.0851821496473,2.07216614938554,4.24618850229433e-10,1.4210854715202e-14,10.0009318,57.685,exhale,-30.507596060844303,-52.88653213286696,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,130,24.8533199419455,22.7128090448809,2.16242372709105,1.65803909105412e-10,3.5527136788005e-15,11.4550882,55.784,exhale,-30.9306800580545,-55.44722511482593,50000
deflated,literature_named_tissues,variable_transverse,2.84229947307531,3.81728305178192,140,23.8817023254173,21.494918525453,2.43426318595076,4.24089284739772e-10,0.0,12.8708557,46.828,exhale,-22.946297674582706,-49.00123360934206,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,50,48.736850252964,48.0452656744457,0.464609403606823,8.378086202927758e-11,0.0,1.4034329,83.134,exhale,-34.397149747036,-41.37555001207208,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,60,47.854158938204,47.611290601361,0.718488669258117,1.91075611695106e-10,0.0,2.8754616,97.44,exhale,-49.585841061796,-50.88858893862479,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,70,36.7946424479317,35.9610132581121,0.865826409606683,2.284863114497e-10,2.1316282072803e-14,4.3046301,85.633,exhale,-48.838357552068295,-57.0321693179829,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,80,37.9611445517815,36.831393433962,1.11569050855855,1.95999999016478e-10,1.4210854715202e-14,5.6932255,79.63,exhale,-41.668855448218494,-52.32808671131294,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,90,32.1782424043392,30.7932202156555,1.32549721649372,2.96144750052583e-10,1.4210854715202e-14,7.1179787,70.327,exhale,-38.1487575956608,-54.24482431450338,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,110,29.7845196952252,28.2903128038763,1.75513220373682,2.5193365285236003e-10,3.5527136788005e-15,8.5180992,61.474,exhale,-31.6894803047748,-51.5494034954205,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,120,27.167851696519,25.107271705971,2.04052980563934,3.57057066759703e-10,7.105427357601e-15,9.9610599,57.685,exhale,-30.517148303481,-52.90309145095085,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,130,24.8421985419765,22.7380333770705,2.12608939381401,3.65970276614504e-10,0.0,11.3325702,55.784,exhale,-30.941801458023495,-55.467161655714,50000
deflated,literature_named_tissues,reference,2.84229947307531,3.81728305178192,140,23.8683409512138,21.5250382557584,2.39075437686907,3.9330885023994e-10,7.105427357601e-15,12.7742571,46.828,exhale,-22.959659048786204,-49.029766483271125,50000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,50,47.7541238462573,47.2154431697975,0.320184959405815,1.59104255269704e-10,2.8421709430404e-14,1.7019514,85.689,inhale,-37.93487615374269,-44.27041528520895,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,60,47.0745614316565,47.045035612478,0.495933293435149,7.9022632122382e-11,3.5527136788004997e-14,3.4394723,101.102,inhale,-54.02743856834351,-53.43854579369696,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,70,36.4484373685137,35.885704077683,0.597247218193395,1.1963641495781e-10,0.0,5.0473974,88.678,inhale,-52.229562631486296,-58.89799344988193,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,80,37.7792907830335,36.9947657562456,0.769983635946501,3.8231932494226e-10,4.2632564145606e-14,6.5806177,83.943,inhale,-46.163709216966495,-54.99411412144729,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,90,32.3222903232995,31.3489460680611,0.914661552340474,1.6200305309026002e-10,1.4210854715202e-14,8.1541126,74.573,inhale,-42.250709676700495,-56.65684587813351,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,110,30.3235118616146,29.3703326069764,1.20847380585764,3.54405638055481e-10,7.105427357601e-15,9.5994333,65.581,inhale,-35.2574881383854,-53.7617421789625,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,120,28.0107283558677,26.5869141299056,1.40246832583475,1.97196405308332e-10,0.0,11.092616,62.821,inhale,-34.8102716441323,-55.41183942333344,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,130,25.8136644068642,24.3782363673081,1.45449417998383,4.41127195118088e-10,1.4210854715202e-14,12.5331989,60.925,inhale,-35.1113355931358,-57.630423624350925,100000
inflated,literature_named_tissues,variable_transverse,2.76358599815597,9.31525292470551,140,25.0697568949875,23.4896957230751,1.62723401767121,2.66398694954605e-10,3.5527136788005e-15,14.0283639,50.103,inhale,-25.033243105012502,-49.96356127380097,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,50,47.7502607005116,47.2154559403806,0.316308876729821,1.4424389250041e-10,1.4210854715202e-14,1.425084,85.689,inhale,-37.93873929948839,-44.27492361853726,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,60,47.0680546007894,47.0447164413278,0.489713422030864,2.03098226769848e-10,1.4210854715202e-14,2.9066627,101.102,inhale,-54.0339453992106,-53.44498170086704,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,70,36.4397408599374,35.884683837256,0.589521038514755,1.76341295668723e-10,7.105427357601e-15,4.3724228,88.678,inhale,-52.2382591400626,-58.90780028875549,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,80,37.766977553759,36.992931288697,0.759534911510987,3.0471149591985903e-10,1.4210854715202e-14,5.8165828,83.943,inhale,-46.176022446241,-55.00878268139213,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,90,32.3061448175497,31.345492337644,0.90196307602418,1.34547374351653e-10,2.8421709430404e-14,7.3229693,74.573,inhale,-42.26685518245029,-56.678496483245,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,110,30.2970036922477,29.3618601791072,1.19046534084536,5.18690756007682e-10,1.4210854715202e-14,8.7782675,65.581,inhale,-35.283996307752304,-53.802162680886696,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,120,27.9769510493149,26.5748441431565,1.38078728640231,3.8773466083022e-10,1.77635683940025e-14,10.2740985,62.821,inhale,-34.8440489506851,-55.46560696373045,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,130,25.7760081460147,24.3630418873877,1.43207046987387,5.0754262530949e-10,2.1316282072803e-14,11.7464098,60.925,inhale,-35.148991853985294,-57.6922311924256,100000
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,140,25.0250173553832,23.4709458824821,1.60114628266955,2.24151951475767e-10,0.0,13.5202744,50.103,inhale,-25.077982644616803,-50.05285640503923,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,50,47.3903376537558,46.7161672962761,0.455293980471924,1.40955333152506e-10,1.4210854715202e-14,1.7156004,83.134,exhale,-35.7436623462442,-42.99523942820531,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,60,46.511431781812,46.2719478971714,0.704609956653705,2.95060931379064e-11,1.4210854715202e-14,3.304998,97.44,exhale,-50.928568218188,-52.26659299896141,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,70,35.7697160870427,34.9525423491016,0.850089754788553,1.18189537086786e-10,7.105427357601e-15,4.7744438,85.633,exhale,-49.86328391295729,-58.229051782557306,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,80,36.9040725928679,35.7951875457115,1.09671872445854,1.62901043658716e-10,2.8421709430404e-14,6.2083417,79.63,exhale,-42.7259274071321,-53.65556625283448,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,90,31.2820155732682,29.9192827180286,1.30470663959077,5.58857419006951e-11,2.1316282072803e-14,7.6645949,70.327,exhale,-39.0449844267318,-55.51919522620303,100000
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,110,28.9455886647232,27.4650831960891,1.73354929081413,3.20465333949423e-10,1.4210854715202e-14,9.1282552,61.474,exhale,-32.5284113352768,-52.91409593531705,100000
