point_id,kind,model,rho1,rho2,L_mm,Z,dZ_dlogrho1,dZ_dlogrho2,relative_residual,reciprocity_abs,elapsed_seconds
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,90,32.3061448175497,31.345492337644,0.90196307602418,1.34547374351653e-10,2.8421709430404e-14,7.3229693
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,110,30.2970036922477,29.3618601791072,1.19046534084536,5.18690756007682e-10,1.4210854715202e-14,8.7782675
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,120,27.9769510493149,26.5748441431565,1.38078728640231,3.8773466083022e-10,1.77635683940025e-14,10.2740985
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,130,25.7760081460147,24.3630418873877,1.43207046987387,5.0754262530949e-10,2.1316282072803e-14,11.7464098
inflated,literature_named_tissues,reference,2.76358599815597,9.31525292470551,140,25.0250173553832,23.4709458824821,1.60114628266955,2.24151951475767e-10,0,13.5202744
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,50,47.3903376537558,46.7161672962761,0.455293980471924,1.40955333152506e-10,1.4210854715202e-14,1.7156004
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,60,46.511431781812,46.2719478971714,0.704609956653705,2.95060931379064e-11,1.4210854715202e-14,3.304998
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,70,35.7697160870427,34.9525423491016,0.850089754788553,1.18189537086786e-10,7.105427357601e-15,4.7744438
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,80,36.9040725928679,35.7951875457115,1.09671872445854,1.62901043658716e-10,2.8421709430404e-14,6.2083417
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,90,31.2820155732682,29.9192827180286,1.30470663959077,5.58857419006951e-11,2.1316282072803e-14,7.6645949
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,110,28.9455886647232,27.4650831960891,1.73354929081413,3.20465333949423e-10,1.4210854715202e-14,9.1282552
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,120,26.4090118363688,24.3704179171386,2.01907660766832,2.26128262678176e-10,7.105427357601e-15,10.7301505
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,130,24.1474308256964,22.061716190815,2.10718543727642,3.22344194112866e-10,2.8421709430404e-14,12.2124721
deflated,literature_named_tissues,variable_transverse,2.76358599815597,3.68169408073288,140,23.1998870382757,20.8739105103292,2.37209954278673,2.64019941081573e-10,7.105427357601e-15,13.7042716
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,50,47.3896699716332,46.7181722401618,0.452621965921117,1.70151435805105e-10,7.105427357601e-15,1.4543857
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,60,46.5102293074436,46.2754200623531,0.69992527399632,8.08995729953049e-11,3.5527136788005e-14,2.9172964
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,70,35.7679550477083,34.9573876235224,0.843470341673001,6.51088608862873e-11,7.105427357601e-15,4.5225197
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,80,36.9014508775348,35.8022451867398,1.08704845844735,1.93836431450469e-10,2.8421709430404e-14,5.9755766
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,90,31.2783128163266,29.9288715503758,1.29141239876454,4.86763103102607e-11,0,7.4505233
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,110,28.9387579685695,27.4818373189949,1.70997930570833,2.06288526372293e-10,0,8.895483
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,120,26.3999727818359,24.3921953879456,1.98826532478435,1.44764616504178e-10,1.06581410364015e-14,10.3926362
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,130,24.136902970012,22.0866138688019,2.07177068195033,2.95662790475479e-10,7.105427357601e-15,11.8493668
deflated,literature_named_tissues,reference,2.76358599815597,3.68169408073288,140,23.1872387581288,20.9036481610745,2.32968741620748,2.15572670506075e-10,2.1316282072803e-14,13.4100044
