subject,chamber_key,chamber_label,phase_percent,cardiac_phase,modeled_volume_ml,change_from_0_ml,change_from_0_percent,change_from_previous_1pct_ml,measured_count,measured_mean_ml,measured_min_ml,measured_max_ml,model,model_residual_rmse_ml,cycle_offsets_ml,phase_kind
nix,heart_atrium_left,Левое предсердие,61.0,Раннее и среднее наполнение,64.555705078198,27.137251886497808,72.52371376088078,-1.2619526912299932,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,62.0,Раннее и среднее наполнение,63.3444971717789,25.926043980078703,69.28678704930905,-1.211207906419105,1,56.57312286376953,56.57312286376953,56.57312286376953,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",measured_phase_reference
nix,heart_atrium_left,Левое предсердие,63.0,Раннее и среднее наполнение,62.18993177399533,24.77147858229514,66.20123620660438,-1.1545653977835642,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,64.0,Раннее и среднее наполнение,61.09647573901152,23.678022547311322,63.278998803091504,-1.0934560349838165,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,65.0,Раннее и среднее наполнение,60.06714883713166,22.648695645431467,60.528145109042576,-1.0293269018798554,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,66.0,Раннее и среднее наполнение,59.10353226954965,21.68507907784946,57.95290085015977,-0.9636165675820081,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,67.0,Раннее и среднее наполнение,58.20580155621307,20.787348364512873,55.55373509967463,-0.8977307133365855,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,68.0,Раннее и среднее наполнение,57.37278304993358,19.954329858233386,53.327511311075426,-0.8330185062794868,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,69.0,Раннее и среднее наполнение,56.60203295152332,19.183579759823125,51.267698484335654,-0.7707500984102609,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,70.0,Раннее и среднее наполнение,55.88993734105122,18.471484149351028,49.36463849726476,-0.7120956104720975,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
nix,heart_atrium_left,Левое предсердие,71.0,Раннее и среднее наполнение,55.23183140498987,17.813378213289674,47.60586473745759,-0.6581059360613537,0,,,,periodic_fourier_ridge_with_cycle_contrasts,4.169044463441518,"{""1"": 0.740979395294293, ""2"": -0.740979395294293}",periodic_model
