k,subset_id,sizes_mm,sizes_mm_json,subset_indices_json,worst_sigma_logrho1_unit_ohm_error,worst_sigma_logrho2_unit_ohm_error,worst_max_unit_logrho_error,worst_kappa,g1,g2,g1_max,g2_max,rank2_min,g1_relative_full9,g2_relative_full9,attenuation_relative_full9,uncertainty_inflation_relative_full9,global_rank,rank_within_count
5,50-70-90-110-130,50|70|90|110|130,"[50, 70, 90, 110, 130]","[0, 2, 4, 5, 7]",0.043110182554942145,4.600806654720328,4.600806654720328,184.07291767614547,39.341312718045,0.37419572094561193,275.258833063617,12.247392134143388,2,0.7427403377257925,0.6878718014042927,0.6878718014042927,1.4753739446734515,239,74
5,50-60-70-110-120,50|60|70|110|120,"[50, 60, 70, 110, 120]","[0, 1, 2, 5, 6]",0.03636299042936762,4.606201670940446,4.606201670940446,202.02586411264983,43.27150559636963,0.34527950441641486,306.4530359116831,11.249585806991087,2,0.8169400169966726,0.6347160627350459,0.6347160627350459,1.4771040035434728,240,75
5,50-60-80-110-120,50|60|80|110|120,"[50, 60, 80, 110, 120]","[0, 1, 3, 5, 6]",0.037171937544997036,4.609338231161089,4.609338231161089,203.56352726370014,43.547667474143694,0.355200899767182,307.96545583035476,11.553385184898298,2,0.8221537872598803,0.652954240539779,0.652954240539779,1.4781098269941688,241,76
4,50-60-110-120,50|60|110|120,"[50, 60, 110, 120]","[0, 1, 5, 6]",0.03836053400656339,4.614406839184543,4.614406839184543,183.72193547500996,39.26999047534646,0.3302170391976885,278.2142724274311,10.764593558578307,2,0.7413938166524126,0.6070272237033972,0.6070272237033972,1.4797352141870634,242,39
5,60-80-90-110-140,60|80|90|110|140,"[60, 80, 90, 110, 140]","[1, 3, 4, 5, 8]",0.046816772886690464,4.621627005051078,4.621627005051078,185.51527332191046,39.38575452272709,0.40647360058426446,277.1741926932505,13.409401421379686,2,0.7435793722861105,0.7472071758346647,0.7435793722861105,1.4820505569943465,243,77
4,60-80-110-140,60|80|110|140,"[60, 80, 110, 140]","[1, 3, 5, 8]",0.04754058523727387,4.634416519072439,4.634416519072439,169.74236356710546,35.952459428878626,0.3755727207858894,253.7619691078475,12.439414604614793,2,0.6787608245220024,0.6904030953439226,0.6787608245220024,1.4861518629539856,244,40
4,50-70-80-140,50|70|80|140,"[50, 70, 80, 140]","[0, 2, 3, 8]",0.039670963630550254,4.652327980421476,4.652327980421476,176.87612383221423,37.48727561297089,0.3239938999666207,262.896688205401,10.782539610459587,2,0.7077372315648924,0.5955874296233186,0.5955874296233186,1.4918956608069736,245,41
5,50-70-80-110-130,50|70|80|110|130,"[50, 70, 80, 110, 130]","[0, 2, 3, 5, 7]",0.04128861864587762,4.65374283657795,4.65374283657795,191.6588783555371,40.538225868240055,0.36466546918993253,284.21219124512317,11.93858609980778,2,0.7653373385878545,0.6703526501257873,0.6703526501257873,1.4923493729634234,246,78
4,50-70-110-130,50|70|110|130,"[50, 70, 110, 130]","[0, 2, 5, 7]",0.04351781608888631,4.655942619522839,4.655942619522839,169.85789241376094,35.903768131488036,0.34037702360850636,251.66849037946952,11.177012271321956,2,0.6778415620935373,0.62570399200328,0.62570399200328,1.49305479326999,247,42
5,60-80-90-120-130,60|80|90|120|130,"[60, 80, 90, 120, 130]","[1, 3, 4, 6, 7]",0.047737732664572055,4.657733617747994,4.657733617747994,185.47417818413476,39.062392703624894,0.40735650835030507,273.9237885997222,13.301440355382391,2,0.7374744955005061,0.748830196413215,0.7374744955005061,1.493629125624,248,79
3,50-70-140,50|70|140,"[50, 70, 140]","[0, 2, 8]",0.042033285651509295,4.657806372133254,4.657806372133254,153.08949565730617,32.419571903065766,0.2963910609256843,227.32164012010492,9.932719954870771,2,0.6120620315031842,0.5448460299969947,0.5448460299969947,1.4936524562989073,249,9
4,60-80-120-130,60|80|120|130,"[60, 80, 120, 130]","[1, 3, 6, 7]",0.04853481386889546,4.6675290481103335,4.6675290481103335,169.31694801087954,35.59792414443366,0.3765280939344787,250.2076054622686,12.322958441608069,2,0.6720674114477716,0.6921593266740745,0.6720674114477716,1.4967702971224004,250,43
3,50-80-140,50|80|140,"[50, 80, 140]","[0, 3, 8]",0.0432401568880906,4.67019252643191,4.67019252643191,155.3845786679812,32.78726564140407,0.30789187066569873,229.3564623728866,10.275526950169526,2,0.6190038682779337,0.5659875938114607,0.5659875938114607,1.4976244139790227,251,10
2,50-140,50|140,"[50, 140]","[0, 8]",0.04783265382477593,4.671284475511923,4.671284475511923,127.22910766997022,26.846556534036253,0.2786987940467188,187.5229218781854,9.379883760176257,2,0.5068468510385677,0.5123229122600916,0.5068468510385677,1.4979745771878827,252,1
5,50-80-90-110-130,50|80|90|110|130,"[50, 80, 90, 110, 130]","[0, 3, 4, 5, 7]",0.04447938969032186,4.672668413902629,4.672668413902629,188.50304159868287,39.644861359840256,0.38336950921973034,276.94166162723695,12.52701650391064,2,0.7484711536327004,0.7047356774792857,0.7047356774792857,1.4984183747207755,253,80
4,60-90-110-140,60|90|110|140,"[60, 90, 110, 140]","[1, 4, 5, 8]",0.051171975911557546,4.69254650341615,4.69254650341615,165.64781422186962,34.59726100169963,0.38483295304977233,243.6924136953833,12.73608306075528,2,0.6531754927690355,0.7074258785886973,0.6531754927690355,1.504792825450637,254,44
3,60-110-140,60|110|140,"[60, 110, 140]","[1, 5, 8]",0.05291657555262263,4.695212849336444,4.695212849336444,146.70777771153413,30.631881242920297,0.3520376150066747,216.6924003351729,11.710456906383365,2,0.5783115063445089,0.6471392772337684,0.5783115063445089,1.5056478618808795,255,11
4,50-90-110-130,50|90|110|130,"[50, 90, 110, 130]","[0, 4, 5, 7]",0.04772540969055344,4.6986991081499365,4.6986991081499365,166.93772971256098,34.89194522717476,0.3603439945114237,243.4279017335147,11.803470156695766,2,0.6587389538238435,0.6624086240307883,0.6587389538238435,1.506765825708492,256,45
4,50-80-110-130,50|80|110|130,"[50, 80, 110, 130]","[0, 3, 5, 7]",0.04491038043007583,4.714413600983404,4.714413600983404,173.71013798832288,36.23612440509609,0.350437242920835,253.50796400742914,11.482731892500748,2,0.6841162487740279,0.6441973653732539,0.6441973653732539,1.5118051057783182,257,46
6,70-80-90-110-130-140,70|80|90|110|130|140,"[70, 80, 90, 110, 130, 140]","[2, 3, 4, 5, 7, 8]",0.05704539147443084,4.714552034837864,4.714552034837864,186.55816752299364,38.62825138056639,0.47856142334239476,267.36395753120905,15.79460813172717,2,0.729278168265058,0.8797238715751694,0.729278168265058,1.5118494983636315,258,74
3,50-110-130,50|110|130,"[50, 110, 130]","[0, 5, 7]",0.04885588643730274,4.72814448099356,4.72814448099356,148.9552632613231,30.964326593627217,0.325087488235134,216.39488721482925,10.688727565328433,2,0.5845878747470855,0.5975977373049668,0.5845878747470855,1.5162082863778847,259,12
