state,L_mm,rho2,rho1,residual_ohm
inhale,130,10.768455655583,6.8733845598501,2.8421709430404e-14
inhale,140,10.768455655583,5.7714668217445,-1.4210854715202e-14
inhale,50,10.792343659445,4.9900582670913,-1.2363443602226e-12
inhale,60,10.792343659445,5.9392962453918,-1.4210854715202e-14
inhale,70,10.792343659445,6.8228205249999,5.2580162446247e-13
inhale,80,10.792343659445,6.2445761607302,-2.8421709430404e-14
inhale,90,10.792343659445,6.5417171689722,1.0658141036402e-12
inhale,110,10.792343659445,6.1188665672001,1.4210854715202e-14
inhale,120,10.792343659445,6.4708032530706,3.2684965844965e-13
inhale,130,10.792343659445,6.8720280991006,2.1316282072803e-14
inhale,140,10.792343659445,5.7702260708417,2.1316282072803e-14
inhale,50,10.816231663306,4.9899660833962,-1.2931877790834e-12
inhale,60,10.816231663306,5.9391150354061,2.8421709430404e-14
inhale,70,10.816231663306,6.8224714723334,5.8264504332328e-13
inhale,80,10.816231663306,6.2441873777919,-1.4210854715202e-14
inhale,90,10.816231663306,6.5411299400959,1.0516032489249e-12
inhale,110,10.816231663306,6.118103114702,1.4210854715202e-14
inhale,120,10.816231663306,6.4697202379611,3.1974423109205e-13
inhale,130,10.816231663306,6.8706763226995,1.4210854715202e-14
inhale,140,10.816231663306,5.7689898605463,2.1316282072803e-14
inhale,50,10.840119667168,4.9898741870889,-1.2931877790834e-12
inhale,60,10.840119667168,5.938934374917,-1.4210854715202e-14
inhale,70,10.840119667168,6.8221234646257,5.5422333389288e-13
inhale,80,10.840119667168,6.2437997962142,-2.8421709430404e-14
inhale,90,10.840119667168,6.5405445527963,1.0800249583554e-12
inhale,110,10.840119667168,6.1173421810658,1.4210854715202e-14
inhale,120,10.840119667168,6.4686408945824,3.1974423109205e-13
inhale,130,10.840119667168,6.8693292057364,2.8421709430404e-14
inhale,140,10.840119667168,5.7677581653052,0
inhale,50,10.86400767103,4.9897825767555,-1.2505552149378e-12
inhale,60,10.86400767103,5.9387542612912,0
inhale,70,10.86400767103,6.821776496944,5.4001247917768e-13
inhale,80,10.86400767103,6.2434134101632,-1.4210854715202e-14
inhale,90,10.86400767103,6.5399609980395,1.0942358130706e-12
inhale,110,10.86400767103,6.1165837533699,0
inhale,120,10.86400767103,6.4675652036945,3.1263880373444e-13
inhale,130,10.86400767103,6.8679867234835,3.5527136788005e-14
inhale,140,10.86400767103,5.7665309597625,0
inhale,50,10.887895674892,4.9896912509919,-1.264766069653e-12
inhale,60,10.887895674892,5.9385746919136,0
inhale,70,10.887895674892,6.8214305643888,5.6843418860808e-13
inhale,80,10.887895674892,6.2430282138452,0
inhale,90,10.887895674892,6.5393792668539,1.0800249583554e-12
inhale,110,10.887895674892,6.1158278187851,0
inhale,120,10.887895674892,6.4664931461966,3.2684965844965e-13
inhale,130,10.887895674892,6.8666488513936,7.105427357601e-15
inhale,140,10.887895674892,5.7653082187577,0
inhale,50,10.911783678754,4.9896002084039,-1.3073986337986e-12
inhale,60,10.911783678754,5.9383956641867,-1.4210854715202e-14
inhale,70,10.911783678754,6.8210856620932,5.5422333389288e-13
inhale,80,10.911783678754,6.242644201506,1.4210854715202e-14
