request_id_fine,kind_fine,quadrature_points_fine,frequency_hz,state,model,rho1_fine,rho2_fine,rho_bone_fine,rho_heart_fine,rho_fat_fine,L_mm,Z_fine,relative_residual_fine,reciprocity_abs_fine,request_id_coarse,kind_coarse,quadrature_points_coarse,rho1_coarse,rho2_coarse,rho_bone_coarse,rho_heart_coarse,rho_fat_coarse,Z_coarse,relative_residual_coarse,reciprocity_abs_coarse,difference_ohm,difference_pct,within_numeric_tolerance
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,27.262134396152,6.03373708556423e-10,0.0,q1024_100000_inhale_ts_without_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,27.2623212449264,5.47294585777147e-10,7.105427357601e-15,-0.00018684877440122705,-0.000685378377518381,True
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,26.6851207328239,6.02985140659013e-10,1.4210854715202e-14,q1024_100000_inhale_ts_without_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,26.6853695490576,5.24556943281167e-10,1.4210854715202e-14,-0.0002488162337002109,-0.0009324156191437264,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,80.6148455505853,1.54687945868993e-10,0.0,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80.6962333110385,2.2101146572796002e-10,2.8421709430404e-14,-0.08138776045319673,-0.1009587748972693,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,75.1556053756226,1.56451722846157e-10,1.4210854715202e-14,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,75.2181054269441,1.73452395805156e-10,1.4210854715202e-14,-0.06250005132150704,-0.08316086472743589,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,52.0965850232337,2.1868105066082003e-10,7.105427357601e-15,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,52.1383989884087,2.55518419501322e-10,0.0,-0.041813965175002465,-0.08026239177933552,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,54.7053012035777,1.66784221825261e-10,2.1316282072803e-14,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,54.7269778168746,2.7613236878834e-10,2.8421709430404e-14,-0.02167661329690418,-0.039624337714982805,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,43.0468721386558,1.38999729888773e-10,0.0,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,43.0565729200388,1.97187614693938e-10,7.105427357601e-15,-0.009700781383003232,-0.022535392006547198,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,42.4946823974165,1.97082569128709e-10,7.105427357601e-15,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,42.4902715687247,2.91375582755478e-10,0.0,0.004410828691796098,0.0103797191623775,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,37.5970055789158,3.25330672834231e-10,7.105427357601e-15,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,37.5923978513847,2.08393887684499e-10,1.4210854715202e-14,0.004607727531094952,0.012255570517240716,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,34.8923746417422,4.48598318348391e-10,1.4210854715202e-14,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,34.8888454029104,3.32289042493129e-10,1.4210854715202e-14,0.0035292388318026724,0.010114642147572834,True
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,32.3319176618595,2.61265303264464e-10,2.8421709430404e-14,q1024_100000_inhale_ts_with_fat,literature,1024,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,32.3271830918819,3.59130539380869e-10,7.105427357601e-15,0.004734569977600245,0.014643641082834388,True
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,47.7240938166899,1.64710471826882e-10,0.0,q1024_100000_exhale_ts_without_fat,literature,1024,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,47.7240320578874,1.03303845166375e-10,7.105427357601e-15,6.175880250225418e-05,0.00012940801503632976,True
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,60,47.0077135128293,1.77489410566394e-10,1.4210854715202e-14,q1024_100000_exhale_ts_without_fat,literature,1024,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,47.0076312418959,2.48358650818553e-10,1.4210854715202e-14,8.227093339741032e-05,0.00017501581602125154,True
