request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs,Z_previous_four_tissue,Z_experiment,residual_ohm,residual_pct
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,130,32.887949202328,2.58977024861004e-10,1.4210854715202e-14,25.5829110771606,55.784,-22.896050797671997,-41.04411802250107
q4096_50000_exhale_ts_with_fat,literature,4096,50000,exhale,ts_with_fat,2.84229947307531,3.81728305178192,48.4451260579635,5.11678442048387,23.1086075206695,140,29.9638408598388,3.11399320025314e-10,3.5527136788005e-15,24.6749210583929,46.828,-16.864159140161203,-36.01298184881097
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,48.1438463313501,2.3845929089960303e-10,7.105427357601e-15,47.9964447977857,85.689,-37.545153668649895,-43.81560488353219
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,47.6560374419067,2.2883719497066003e-10,0.0,47.4350451643654,101.102,-53.445962558093306,-52.863407804092205
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,37.1308551342951,2.67277747288533e-10,0.0,36.8706903098791,88.678,-51.547144865704894,-58.12844771612451
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,38.6380862541239,2.99100529372999e-10,7.105427357601e-15,38.3062433943989,83.943,-45.3049137458761,-53.97104433469867
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,33.3139171099469,5.580813922163641e-10,7.105427357601e-15,32.9306572147448,74.573,-41.259082890053094,-55.327106177910366
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,31.5678682494048,4.06753209334353e-10,2.48689957516035e-14,31.077236751985,65.581,-34.01313175059521,-51.86430787971395
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,29.4208835067617,5.99219294386095e-10,1.0658141036401501e-14,28.8531829792643,62.821,-33.4001164932383,-53.167120060550296
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,27.262134396152,6.03373708556423e-10,0.0,26.6691733138106,60.925,-33.662865603848,-55.25295954673451
q4096_100000_inhale_ts_without_fat,literature,4096,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,26.6851207328239,6.02985140659013e-10,1.4210854715202e-14,26.0092336111969,50.103,-23.4178792671761,-46.739475215408454
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,80.6148455505853,1.54687945868993e-10,0.0,47.9964447977857,85.689,-5.074154449414692,-5.921593727800175
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,75.1556053756226,1.56451722846157e-10,1.4210854715202e-14,47.4350451643654,101.102,-25.946394624377405,-25.66358195127436
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,52.0965850232337,2.1868105066082003e-10,7.105427357601e-15,36.8706903098791,88.678,-36.5814149767663,-41.251962129013165
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,54.7053012035777,1.66784221825261e-10,2.1316282072803e-14,38.3062433943989,83.943,-29.2376987964223,-34.83041920877536
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,43.0468721386558,1.38999729888773e-10,0.0,32.9306572147448,74.573,-31.526127861344193,-42.27552580872997
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,42.4946823974165,1.97082569128709e-10,7.105427357601e-15,31.077236751985,65.581,-23.086317602583506,-35.20275324039509
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,37.5970055789158,3.25330672834231e-10,7.105427357601e-15,28.8531829792643,62.821,-25.2239944210842,-40.15216953102338
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,34.8923746417422,4.48598318348391e-10,1.4210854715202e-14,26.6691733138106,60.925,-26.032625358257796,-42.728970633168316
q4096_100000_inhale_ts_with_fat,literature,4096,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,32.3319176618595,2.61265303264464e-10,2.8421709430404e-14,26.0092336111969,50.103,-17.771082338140502,-35.46909833371355
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,47.7240938166899,1.64710471826882e-10,0.0,47.5995226896372,83.134,-35.4099061833101,-42.59377172193098
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,60,47.0077135128293,1.77489410566394e-10,1.4210854715202e-14,46.821611488744,97.44,-50.4322864871707,-51.75727266745761
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,70,36.3476347513371,1.99307144818519e-10,2.8421709430404e-14,36.1321411501008,85.633,-49.2853652486629,-57.554173331149094
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,80,37.6301555697596,1.96026953357856e-10,1.4210854715202e-14,37.355142716909,79.63,-41.999844430240394,-52.74374536009091
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,90,32.113521611299,2.58683983691449e-10,2.1316282072803e-14,31.801384014138,70.327,-38.213478388701,-54.33685268630967
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,110,29.9725041086834,2.12335644208566e-10,3.5527136788005e-15,29.5818495799687,61.474,-31.501495891316598,-51.24360850329668
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,120,27.5635829308206,3.58811508905227e-10,3.5527136788005e-15,27.1134406202655,57.685,-30.1214170691794,-52.21707041549692
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,130,25.3193376972336,3.42501246953903e-10,0.0,24.854374526801,55.784,-30.4646623027664,-54.61182830698122
q4096_100000_exhale_ts_without_fat,literature,4096,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,140,24.4974197787148,5.3082143084849e-10,7.105427357601e-15,23.9680247675901,46.828,-22.330580221285203,-47.68638468712139
q4096_100000_exhale_ts_with_fat,literature,4096,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,80.0020242110932,2.08661793033471e-10,1.4210854715202e-14,47.5995226896372,83.134,-3.1319757889068,-3.7673825256896096
