state,L_mm,rho1,rho2,branch_index,residual_ohm,within_literature_bounds
inhale,50,5.156389869014359,0.1318256738556407,0,9.9475983006414026e-14,False
inhale,50,5.1562684815210975,0.1333521432163324,0,1.1368683772161603e-13,False
inhale,50,5.1561459167835144,0.13489628825916536,0,1.1368683772161603e-13,False
inhale,50,5.1560221642082,0.13645831365889247,0,1.1368683772161603e-13,False
inhale,50,5.1558972132031213,0.13803842646028849,0,8.5265128291212022e-14,False
inhale,50,5.1557710531776646,0.13963683610559377,0,8.5265128291212022e-14,False
inhale,50,5.1556436735426487,0.14125375446227545,0,8.5265128291212022e-14,False
inhale,50,5.155515063710352,0.1428893958511103,0,1.1368683772161603e-13,False
inhale,50,5.1553852130945401,0.14454397707459277,0,7.1054273576010019e-14,False
inhale,50,5.1552541111105015,0.14621771744567183,0,1.5631940186722204e-13,False
inhale,50,5.155121747175051,0.14791083881682077,0,1.2789769243681803e-13,False
inhale,50,5.15498811070659,0.14962356560944334,0,1.2789769243681803e-13,False
inhale,50,5.1548531911250999,0.15135612484362079,0,1.2789769243681803e-13,False
inhale,50,5.1547169778521953,0.15310874616820302,0,1.5631940186722204e-13,False
inhale,50,5.1545794603111377,0.15488166189124811,0,1.4210854715202004e-13,False
inhale,50,5.154440627926868,0.15667510701081494,0,1.1368683772161603e-13,False
inhale,50,5.1543004701260449,0.15848931924611134,0,1.1368683772161603e-13,False
inhale,50,5.1541589763370554,0.16032453906900418,0,1.5631940186722204e-13,False
inhale,50,5.1540161359900543,0.16218100973589297,0,1.1368683772161603e-13,False
inhale,50,5.1538719385170007,0.16405897731995392,0,1.2789769243681803e-13,False
inhale,50,5.1537263733516729,0.16595869074375605,0,1.2789769243681803e-13,False
inhale,50,5.153579429929712,0.16788040181225602,0,1.4210854715202004e-13,False
inhale,50,5.1534310976886459,0.16982436524617442,0,1.7053025658242404e-13,False
inhale,50,5.1532813660679171,0.17179083871575881,0,1.2789769243681803e-13,False
inhale,50,5.153130224508927,0.17378008287493754,0,1.5631940186722204e-13,False
inhale,50,5.1529776624550507,0.17579236139586926,0,1.5631940186722204e-13,False
inhale,50,5.1528236693516831,0.17782794100389229,0,1.7053025658242404e-13,False
inhale,50,5.1526682346462636,0.17988709151287879,0,1.5631940186722204e-13,False
inhale,50,5.1525113477883115,0.18197008586099836,0,1.7053025658242404e-13,False
inhale,50,5.1523529982294551,0.18407720014689558,0,1.5631940186722204e-13,False
inhale,50,5.15219317542347,0.18620871366628675,0,1.8474111129762605e-13,False
inhale,50,5.1520318688263105,0.18836490894898006,0,1.9895196601282805e-13,False
inhale,50,5.1518690678961443,0.19054607179632474,0,1.8474111129762605e-13,False
inhale,50,5.1517047620933853,0.19275249131909361,0,1.8474111129762605e-13,False
inhale,50,5.1515389408807257,0.19498445997580455,0,1.5631940186722204e-13,False
inhale,50,5.1513715937231801,0.19724227361148533,0,1.8474111129762605e-13,False
inhale,50,5.1512027100881106,0.19952623149688797,0,1.7053025658242404e-13,False
inhale,50,5.1510322794452685,0.20183663636815607,0,1.9895196601282805e-13,False
inhale,50,5.1508602912668238,0.20417379446695297,0,1.7053025658242404e-13,False
inhale,50,5.1506867350274117,0.20653801558105292,0,1.9895196601282805e-13,False
inhale,50,5.1505116002041564,0.20892961308540398,0,1.8474111129762605e-13,False
inhale,50,5.1503348762767187,0.21134890398366465,0,2.2737367544323206e-13,False
inhale,50,5.1501565527273305,0.21379620895022325,0,2.2737367544323206e-13,False
inhale,50,5.1499766190408218,0.21627185237270202,0,2.2737367544323206e-13,False
inhale,50,5.1497950647046773,0.21877616239495529,0,1.8474111129762605e-13,False
inhale,50,5.1496118792090648,0.22130947096056375,0,2.1316282072803006e-13,False
inhale,50,5.1494270520468612,0.223872113856834,0,1.8474111129762605e-13,False
inhale,50,5.149240572713718,0.22646443075930595,0,1.9895196601282805e-13,False
inhale,50,5.1490524307080783,0.22908676527677729,0,2.2737367544323206e-13,False
inhale,50,5.1488626155312209,0.23173946499684786,0,1.9895196601282805e-13,False
inhale,50,5.1486711166873134,0.2344228815319922,0,2.2737367544323206e-13,False
inhale,50,5.1484779236834264,0.23713737056616552,0,2.1316282072803006e-13,False
inhale,50,5.1482830259172232,0.23988329190194904,0,2.1316282072803006e-13,False
inhale,50,5.1480864123401258,0.24266100950824154,0,2.2737367544323206e-13,False
inhale,50,5.1478880717950455,0.24547089156850305,0,2.2737367544323206e-13,False
inhale,50,5.1476879931288932,0.24831331052955705,0,2.5579538487363607e-13,False
inhale,50,5.1474861651926433,0.25118864315095801,0,2.1316282072803006e-13,False
inhale,50,5.1472825768414019,0.25409727055493053,0,2.7000623958883807e-13,False
inhale,50,5.1470772169344547,0.25703957827688639,0,3.1263880373444408e-13,False
inhale,50,5.1468700743353519,0.26001595631652719,0,2.9842794901924208e-13,False
inhale,50,5.1466611379119493,0.26302679918953814,0,2.1316282072803006e-13,False
inhale,50,5.1464503965365038,0.26607250597988097,0,2.7000623958883807e-13,False
inhale,50,5.1462378390856989,0.26915348039269155,0,2.5579538487363607e-13,False
inhale,50,5.1460234544407504,0.27227013080779128,0,2.1316282072803006e-13,False
inhale,50,5.1458072314874475,0.27542287033381663,0,2.4158453015843406e-13,False
inhale,50,5.1455891591162297,0.2786121168629771,0,2.5579538487363607e-13,False
inhale,50,5.1453692262222557,0.28183829312644537,0,2.9842794901924208e-13,False
inhale,50,5.1451474217054312,0.28510182675039097,0,-2.7000623958883807e-13,False
inhale,50,5.1449237344706189,0.28840315031266056,0,-3.1263880373444408e-13,False
inhale,50,5.144698153427516,0.29174270140011677,0,-2.7000623958883807e-13,False
inhale,50,5.1444706674908298,0.29512092266663853,0,-3.1263880373444408e-13,False
inhale,50,5.1442412655803453,0.298538261891796,0,-2.8421709430404007e-13,False
inhale,50,5.144009936620983,0.3019951720402016,0,-2.9842794901924208e-13,False
inhale,50,5.1437766695428735,0.3054921113215513,0,-2.7000623958883807e-13,False
inhale,50,5.1435414532814221,0.30902954325135906,0,-2.9842794901924208e-13,False
inhale,50,5.143304276777398,0.31260793671239551,0,-2.9842794901924208e-13,False
inhale,50,5.143065128976998,0.31622776601683794,0,-3.2684965844964609e-13,False
inhale,50,5.1428239988319202,0.31988951096913981,0,-2.9842794901924208e-13,False
inhale,50,5.1425808752994406,0.32359365692962827,0,-2.8421709430404007e-13,False
inhale,50,5.142335747342492,0.32734069487883821,0,-2.2737367544323206e-13,False
inhale,50,5.142088603929734,0.33113112148259111,0,-2.9842794901924208e-13,False
inhale,50,5.1418394340356386,0.33496543915782767,0,-2.9842794901924208e-13,False
inhale,50,5.1415882266405619,0.33884415613920255,0,-2.4158453015843406e-13,False
inhale,50,5.1413349707308145,0.3427677865464504,0,-2.7000623958883807e-13,False
inhale,50,5.1410796552987605,0.34673685045253166,0,-2.4158453015843406e-13,False
inhale,50,5.1408222693428707,0.35075187395256802,0,-2.5579538487363607e-13,False
inhale,50,5.1405628018678264,0.35481338923357547,0,-2.7000623958883807e-13,False
inhale,50,5.1403012418845861,0.35892193464500527,0,-2.9842794901924208e-13,False
inhale,50,5.1400375784104657,0.36307805477010141,0,-2.7000623958883807e-13,False
inhale,50,5.1397718005220971,0.36728230049808469,0,-2.4158453015843406e-13,False
inhale,50,5.1395038985186856,0.37153522909717257,0,-2.7000623958883807e-13,False
inhale,50,5.1392338639226693,0.3758374042884442,0,-2.4158453015843406e-13,False
inhale,50,5.1389616883169698,0.38018939632056115,0,-2.7000623958883807e-13,False
inhale,50,5.1386873632922541,0.38459178204535355,0,-2.5579538487363607e-13,False
inhale,50,5.138410880447001,0.38904514499428056,0,-2.5579538487363607e-13,False
inhale,50,5.1381322313876341,0.39355007545577742,0,-2.5579538487363607e-13,False
inhale,50,5.1378514077286104,0.3981071705534972,0,-2.4158453015843406e-13,False
inhale,50,5.137568401092512,0.40271703432545908,0,-2.7000623958883807e-13,False
inhale,50,5.137283203110167,0.40738027780411273,0,-2.2737367544323206e-13,False
inhale,50,5.1369958054207343,0.41209751909733022,0,-2.8421709430404007e-13,False
inhale,50,5.1367061996718233,0.41686938347033542,0,-2.5579538487363607e-13,False
inhale,50,5.1364143775195874,0.42169650342858223,0,-2.2737367544323206e-13,False
inhale,50,5.1361203306288283,0.42657951880159267,0,-2.4158453015843406e-13,False
inhale,50,5.135824050673107,0.43151907682776525,0,-2.2737367544323206e-13,False
inhale,50,5.1355255293348518,0.43651583224016599,0,-2.1316282072803006e-13,False
inhale,50,5.135224758305454,0.44157044735331252,0,-1.9895196601282805e-13,False
inhale,50,5.1349217292853799,0.44668359215096315,0,-2.1316282072803006e-13,False
inhale,50,5.1346164339842888,0.45185594437492238,0,-1.9895196601282805e-13,False
inhale,50,5.1343088641211212,0.45708818961487507,0,-2.1316282072803006e-13,False
inhale,50,5.1339990114242298,0.46238102139926035,0,-1.7053025658242404e-13,False
inhale,50,5.1336868676314689,0.46773514128719823,0,-1.8474111129762605e-13,False
inhale,50,5.1333724244903118,0.47315125896148053,0,-2.1316282072803006e-13,False
inhale,50,5.133055673757978,0.47863009232263842,0,-2.1316282072803006e-13,False
inhale,50,5.1327366072015126,0.48417236758409943,0,-1.8474111129762605e-13,False
inhale,50,5.1324152165979262,0.48977881936844625,0,-1.4210854715202004e-13,False
inhale,50,5.1320914937342827,0.4954501908047903,0,-1.8474111129762605e-13,False
inhale,50,5.1317654304078433,0.50118723362727235,0,-1.8474111129762605e-13,False
inhale,50,5.1314370184261486,0.50699070827470427,0,-1.7053025658242404e-13,False
inhale,50,5.1311062496071518,0.51286138399136483,0,-1.8474111129762605e-13,False
inhale,50,5.1307731157793333,0.51880003892896109,0,-1.1368683772161603e-13,False
inhale,50,5.1304376087817927,0.52480746024977254,0,-1.4210854715202004e-13,False
inhale,50,5.1300997204644023,0.53088444423098835,0,-1.8474111129762605e-13,False
inhale,50,5.1297594426878987,0.53703179637025267,0,-1.4210854715202004e-13,False
inhale,50,5.1294167673239972,0.54325033149243318,0,-1.5631940186722204e-13,False
inhale,50,5.1290716862555259,0.54954087385762451,0,-1.4210854715202004e-13,False
inhale,50,5.1287241913765298,0.5559042572704036,0,-1.4210854715202004e-13,False
inhale,50,5.1283742745924004,0.56234132519034907,0,-1.2789769243681803e-13,False
inhale,50,5.1280219288856763,0.56885293084384148,0,-9.9475983006414026e-14,False
inhale,50,5.1276671515133891,0.57543993733715693,0,-1.1368683772161603e-13,False
inhale,50,5.1273099408102505,0.58210321777087148,0,-1.1368683772161603e-13,False
inhale,50,5.1269502951231107,0.58884365535558902,0,-8.5265128291212022e-14,False
inhale,50,5.1265882128110709,0.59566214352901048,0,-1.1368683772161603e-13,False
inhale,50,5.126223692245591,0.60255958607435778,0,-1.1368683772161603e-13,False
inhale,50,5.1258567318106083,0.60953689724016924,0,-9.9475983006414026e-14,False
inhale,50,5.1254873299026471,0.61659500186148219,0,-9.9475983006414026e-14,False
inhale,50,5.1251154849309373,0.62373483548241926,0,-9.9475983006414026e-14,False
inhale,50,5.1247411953175277,0.63095734448019336,0,-7.1054273576010019e-14,False
inhale,50,5.1243644594973947,0.63826348619054873,0,-7.1054273576010019e-14,False
inhale,50,5.1239852759185593,0.64565422903465564,0,-8.5265128291212022e-14,False
inhale,50,5.123603643042216,0.65313055264747244,0,-2.8421709430404007e-14,False
inhale,50,5.1232195593428083,0.66069344800759611,0,-7.1054273576010019e-14,False
