request_id,kind,quadrature_points,frequency_hz,state,model,rho1,rho2,rho_bone,rho_heart,rho_fat,L_mm,Z,relative_residual,reciprocity_abs,Z_previous_four_tissue,Z_experiment,residual_ohm,residual_pct
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,33.313880722812,4.53533355967178e-10,7.105427357601e-15,32.9306572147448,74.573,-41.25911927718799,-55.32715497189063
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,31.5679302802799,5.37982277696745e-10,1.0658141036401501e-14,31.077236751985,65.581,-34.01306971972011,-51.8642132930576
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,29.4210165794237,3.87854246392839e-10,7.105427357601e-15,28.8531829792643,62.821,-33.3999834205763,-53.16690823224129
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,27.2623212449585,6.621776965494901e-10,3.5527136788005e-15,26.6691733138106,60.925,-33.6626787550415,-55.25265286014198
q1024_100000_inhale_ts_without_fat,literature,1024,100000,inhale,ts_without_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,26.6853695490574,6.05806339787853e-10,7.105427357601e-15,26.0092336111969,50.103,-23.417630450942603,-46.73897860595693
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,50,80.6962333110385,1.96215479954152e-10,0.0,47.9964447977857,85.689,-4.9927666889614954,-5.826613321384887
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,60,75.2181054269441,1.43651365048569e-10,0.0,47.4350451643654,101.102,-25.883894573055898,-25.601763143217635
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,70,52.1383989884088,2.27490285760565e-10,2.8421709430404e-14,36.8706903098791,88.678,-36.539601011591195,-41.20480954869437
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,80,54.7269778168747,2.5698260665151004e-10,1.4210854715202e-14,38.3062433943989,83.943,-29.216022183125297,-34.80459619399509
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,90,43.0565729200388,3.49278943486551e-10,1.4210854715202e-14,32.9306572147448,74.573,-31.51642707996119,-42.26251737218725
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,110,42.4902715687248,3.04671964261557e-10,7.105427357601e-15,31.077236751985,65.581,-23.090728431275203,-35.20947901263354
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,120,37.5923978513847,1.5153796369966001e-10,7.105427357601e-15,28.8531829792643,62.821,-25.228602148615295,-40.15950422408955
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,130,34.8888454029105,2.53558908553601e-10,1.4210854715202e-14,26.6691733138106,60.925,-26.0361545970895,-42.73476339284284
q1024_100000_inhale_ts_with_fat,literature,1024,100000,inhale,ts_with_fat,2.76358599815597,9.31525292470551,48.0976735255785,4.64880905754772,23.040605218284,140,32.327183091882,3.92066895698047e-10,0.0,26.0092336111969,50.103,-17.775816908118003,-35.47854800734088
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,47.7240320578912,1.16449379524077e-10,7.105427357601e-15,47.5995226896372,83.134,-35.4099679421088,-42.59384601018693
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,60,47.0076312418959,2.4414601080588303e-10,0.0,46.821611488744,97.44,-50.4323687581041,-51.75735709986053
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,70,36.34755568945,3.54443670603131e-10,2.8421709430404e-14,36.1321411501008,85.633,-49.28544431055,-57.5542656575736
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,80,37.6300754457586,1.71993047659541e-10,0.0,37.355142716909,79.63,-41.999924554241396,-52.74384598046139
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,90,32.1134573799123,3.2279141192555803e-10,0.0,31.801384014138,70.327,-38.2135426200877,-54.336944018780414
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,110,29.972520297385,2.19663756661318e-10,3.5527136788005e-15,29.5818495799687,61.474,-31.501479702614997,-51.24358216907147
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,120,27.5636700403764,5.05579432839377e-10,7.105427357601e-15,27.1134406202655,57.685,-30.1213299596236,-52.21691940647239
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,130,25.3195031183605,3.10897394218012e-10,3.5527136788005e-15,24.854374526801,55.784,-30.464496881639498,-54.611531768319765
q1024_100000_exhale_ts_without_fat,literature,1024,100000,exhale,ts_without_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,140,24.4976793145292,5.4595401140518e-10,7.105427357601e-15,23.9680247675901,46.828,-22.330320685470802,-47.68583045500726
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,50,80.083275684737,1.24885502410482e-10,0.0,47.5995226896372,83.134,-3.050724315262997,-3.6696469738771103
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,60,74.2262701171807,1.79370487145102e-10,1.4210854715202e-14,46.821611488744,97.44,-23.213729882819294,-23.82361441176036
q1024_100000_exhale_ts_with_fat,literature,1024,100000,exhale,ts_with_fat,2.76358599815597,3.68169408073288,48.0976735255785,4.64880905754772,23.040605218284,70,50.9649879929442,1.66142053122936e-10,2.1316282072803e-14,36.1321411501008,85.633,-34.66801200705579,-40.484406720605136
